PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=59 time=15.8 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=59 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=59 time=16.6 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=59 time=16.0 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=59 time=14.7 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=59 time=13.7 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=59 time=19.5 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=59 time=20.2 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=59 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=59 time=21.5 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=59 time=12.7 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=59 time=13.2 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=59 time=16.0 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=59 time=20.3 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=59 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=59 time=20.1 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=59 time=14.3 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=59 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=59 time=20.4 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=59 time=19.8 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=59 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=59 time=18.6 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=59 time=10.6 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=59 time=14.5 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=59 time=14.2 ms
